22,2.64920839156e-07
22,0.00383104887307
20,0.0651305868156
20,0.27826688418
20,0.774613015758
20,1.02343789378
20,2.93753181675
20,4.16335493227
21,6.18379022122
20,10.1396263008
20,13.1646316106
20,17.5243508231
21,26.3999417732
20,29.1533331908
20,37.7138729116
20,54.2510456751
20,65.5594197458
20,74.4128627857
20,98.5670827166
20,111.578293488
20,130.834026521
20,161.368093123
20,181.419288759
20,204.016412979
20,224.772781014
20,247.217934457
20,276.120164805
20,378.697081331
20,405.65779439
20,438.915956203
20,484.648806333
20,520.704826507
20,557.32558341
20,592.485724354
20,634.500542748
20,685.989689668
20,1068.99047619
20,1124.59047619
20,1173.48571429
20,1236.8952381
20,1288.41904762
20,1357.66666667
20,1420.72380952
20,1494.42857143
20,1574.65714286
20,1667.81904762
20,1786.34285714
20,1855.06666667
20,1925.22857143
20,2002.45714286
